薬品ｺｰﾄﾞ	ﾖﾐｶﾞﾅ	種	薬品名	規格	メーカー	棚番	薬価	購入価	在庫数	調整量	単位	①薬価金額	②購入金額	①－②	販売会社	厚生省ｺｰﾄﾞ
62699704M10201	ｶﾃﾞｯｸｽﾅ	外	カデックス軟膏０．９％(ﾁｭｰﾌﾞ40ｇ)		スミス＆ネフュー		57.7	0	0	0	ｇ	0	0	0	スミス＆ネフュー	2699704M1025	4987777000012;
62699704M10247	ｶﾃﾞｯｸｽﾅ	外	カデックス軟膏０．９％(ﾊﾞﾗ1ｇ)		スミス＆ネフュー		57.7	57.7	0	0	ｇ	0	0	0	スミス＆ネフュー	2699704M1025	4987777000036;4987777000043;
52190103F10202	ｶﾃﾞｭｴｯﾄ03	内	カデュエット配合錠３番(PTP1錠)		ヴィアトリス製薬	下劇袋	64.7	64.7	42	0	錠	2717.4	2717.4	0	ヴィアトリス製薬	2190103F1020	4987901001007;4987901001106;
53969022F10201	ｶﾅｸﾞﾙｼﾞ01	内	カナグル錠１００ｍｇ(PTP1錠)		田辺三菱製薬	下	169.1	134.14	150	0	錠	25365	20121	5244	田辺三菱製薬	3969022F1029	4987128191116;4987128251339;4987128326433;
53969106F10201	ｶﾅﾘｱ	内	カナリア配合錠(PTP1錠)		田辺三菱製薬	下	246	246	202	0	錠	49692	49692	0	第一三共	3969106F1028	4987081105816;
51139007F10202	ｶﾞﾊﾞﾍﾟﾝ20	内	ガバペン錠２００ｍｇ(PTP1錠)		富士製薬	下	27.6	36.3881	67	0	錠	1849.2	2438.0027	-588.8027	富士製薬	1139007F1022	4987431190479;
54223005F10601	ｶﾍﾟｼﾀﾋﾞﾝｼ	内	カペシタビン錠３００ｍｇ「ヤクルト」(PTP1錠)		ダイト	抗癌剤１	79.8	60.5357	126	0	錠	10054.8	7627.4982	2427.3018	ヤクルト本社	4223005F1065	4987424682912;4987424682929;
52149116F20501	ｶﾑｼｱｴｲﾁ	内	カムシア配合錠ＨＤ「ニプロ」(PTP1錠)		ニプロ	茶劇	29.4	22.66	239	0	錠	7026.6	5415.74	1610.86	ニプロ	2149116F2051	4987190085603;4987190085627;4987190085634;4987190085658;
52149116F10401	ｶﾑｼｱｴﾙ	内	カムシア配合錠ＬＤ「サンド」(PTP1錠)		サンド	下劇	29.8	18.57	125	0	錠	3725	2321.25	1403.75	サンド	2149116F1047	4987614416006;4987614416013;4987614416020;
53999003F13501	ｶﾓｽﾀｯﾄﾒ10	内	カモスタットメシル酸塩錠１００ｍｇ「テバ」(PTP1錠)		武田テバファーマ	茶	7.5	6.52	268	0	錠	2010	1747.36	262.64	武田薬品	3999003F1351	4987123406666;4987123406673;
51190019F50601	ｶﾞﾗﾝﾀﾐﾝｵ0	内	ガランタミンＯＤ錠８ｍｇ「アメル」(PTP1錠)		共和薬品	下劇	38.3	32.3951	0	0	錠	0	0	0	共和薬品	1190019F5066	4987058115077;4987058115169;
51190019F60701	ｶﾞﾗﾝﾀﾐﾝｵ1	内	ガランタミンＯＤ錠１２ｍｇ「サワイ」(PTP1錠)		沢井製薬	下劇	54.3	40	56	0	錠	3040.8	2240	800.8	沢井製薬	1190019F6070	4987080127178;4987080127185;
52190016S10202	ｶﾘﾒｰﾄｹ	内	カリメート経口液２０％　２５ｇ(分包10包)		興和	分包棚４	66.1	55.1975	440	0	包	29084	24286.9	4797.1	興和	2190016S1027	4987770511706;4987770523204;4987770575401;
53112004M12001	ｶﾙｼﾄﾘｵｶ02	内	カルシトリオールカプセル０．２５μｇ「サワイ」(PTP1Ｃ)		沢井製薬	下劇	6.3	5.3	113	0	Ｃ	711.9	598.9	113	沢井製薬	3112004M1201	4987080102915;4987080102922;
53112004M22101	ｶﾙｼﾄﾘｵｶ05	内	カルシトリオールカプセル０．５μｇ「サワイ」(PTP1Ｃ)		沢井製薬	下劇	9.2	7.6951	74	0	Ｃ	680.8	569.4374	111.3626	沢井製薬	3112004M2216	4987080103318;4987080103325;
52190024F40204	ｶﾙﾀﾝｵ05	内	カルタンＯＤ錠５００ｍｇ(PTP1錠)		マイラン製薬	茶	6.4	6.4	118	0	錠	755.2	755.2	0	ヴィアトリス製薬	2190024F4022	4987901048002;4987901048101;4987901048200;
61319701Q40301	ｶﾙﾃｵﾛｰﾙｴ0	外	カルテオロール塩酸塩ＬＡ点眼液２％「わかもと」(本2.5mL)		わかもと製薬		209.1	83.6	0	0	mL	0	0	0	わかもと製薬	1319701Q4039	4987243318603;4987243318610;
52123005F12601	ｶﾙﾃｵﾛｰﾙｼﾞ	内	カルテオロール塩酸塩錠５ｍｇ「日医工」(PTP1錠)		日医工		5.9	4.84	0	0	錠	0	0	0	日医工	2123005F1265	4987376408714;4987376408721;
52149026F20202	ｶﾙﾃﾞﾅﾘﾝ10	内	カルデナリン錠１ｍｇ(PTP1錠)		ヴィアトリス製薬	茶､PTP	20	16.35	94	0	錠	1880	1536.9	343.1	ヴィアトリス製薬	2149026F2022	4987901002400;
52149026F20248	ｶﾙﾃﾞﾅﾘﾝ10	内	カルデナリン錠１ｍｇ(ﾊﾞﾗ1錠)		ヴィアトリス製薬	カセット	20	17.0714	293	0	錠	5860	5001.9202	858.0798	ヴィアトリス製薬	2149026F2022	4987901002509;
52149026F40202	ｶﾙﾃﾞﾅﾘﾝ40	内	カルデナリン錠４ｍｇ(PTP1錠)		ヴィアトリス製薬	茶	50.4	41.2	272	0	錠	13708.8	11206.4	2502.4	ヴィアトリス製薬	2149026F4025	4987901002806;
52491001F50501	ｶﾙﾅｸﾘﾝｼ02	内	カルナクリン錠２５　２５単位(PTP1錠)		三和化学研究所	下	8.7	7.42	300	0	錠	2610	2226	384	三和化学研究所	2491001F5056	4987086150668;4987086150675;
52491001F60601	ｶﾙﾅｸﾘﾝｼ05	内	カルナクリン錠５０　５０単位(PTP1錠)		三和化学研究所	茶	15	12.8	327	0	錠	4905	4185.6	719.4	三和化学研究所	2491001F6060	4987086151238;4987086151245;4987086151269;4987086151276;4987086151283;
53321002F24501	ｶﾙﾊﾞｿﾞｸｼ0	内	カルバゾクロムスルホン酸Ｎａ錠３０ｍｇ「あすか」(PTP1錠)		あすか製薬	茶	5.9	4.7647	2	0	錠	11.8	9.5294	2.2706	武田薬品	3321002F2455	4987123000758;4987123000765;4987123161985;
52149043F10201	ｶﾙﾌﾞﾛｯｸ00	内	カルブロック錠８ｍｇ(PTP1錠)		第一三共	茶	21.4	16.29	178.5	0	錠	3819.9	2907.765	912.135	第一三共	2149043F1020	4987081120000;4987081120024;
52149043F20201	ｶﾙﾌﾞﾛｯｸ01	内	カルブロック錠１６ｍｇ(PTP1錠)		第一三共	茶	39	31.8973	146	0	錠	5694	4657.0058	1036.9942	第一三共	2149043F2026	4987081120048;4987081120062;4987081120093;4987081120109;
52149032F30301	ｶﾙﾍﾞｼﾞﾛ01	内	カルベジロール錠１．２５ｍｇ「サワイ」(PTP1錠)		沢井製薬	下	10.1	7.56	154	0	錠	1555.4	1164.24	391.16	沢井製薬	2149032F3032	4987080679011;
52149032F40301	ｶﾙﾍﾞｼﾞﾛ02	内	カルベジロール錠２．５ｍｇ「サワイ」(PTP1錠)		沢井製薬	茶	10.1	7.56	588.5	0	錠	5943.85	4449.06	1494.79	沢井製薬	2149032F4039	4987080680017;4987080680079;
52149032F10901	ｶﾙﾍﾞｼﾞﾛ10	内	カルベジロール錠１０ｍｇ「サワイ」(PTP1錠)		沢井製薬	茶	12.2	9.6	370	0	錠	4514	3552	962	沢井製薬	2149032F1099	4987080781011;4987080781028;4987080781080;
52149032F20901	ｶﾙﾍﾞｼﾞﾛ20	内	カルベジロール錠２０ｍｇ「サワイ」(PTP1錠)		沢井製薬	下	24.5	23.8974	78	0	錠	1911	1863.9972	47.0028	沢井製薬	2149032F2095	4987080782018;4987080782025;
52233002F12901	ｶﾙﾎﾞｼｽﾃｲｼ	内	カルボシステイン錠２５０ｍｇ「トーワ」(PTP1錠)		東和薬品	茶､PTP/ﾊﾞﾗ	5.7	5.07	1081	0	錠	6161.7	5480.67	681.03	東和薬品	2233002F1298	4987155244151;4987155244175;
52233002F21101	ｶﾙﾎﾞｼｽﾃｲｼ	内	カルボシステイン錠５００ｍｇ「トーワ」(PTP1錠)		東和薬品	茶	7.9	7.03	663	0	錠	5237.7	4660.89	576.81	東和薬品	2233002F2111	4987155029086;4987155029109;
52233002Q11047	ｶﾙﾎﾞｼｽﾃｼ0	内	カルボシステインシロップ５％「タカタ」(ﾊﾞﾗ1mL)		高田製薬		2.6	2.5714	0	0	mL	0	0	0	高田製薬	2233002Q1108	4987120223709;
52233002R20347	ｶﾙﾎﾞｼｽﾃﾄﾞ	内	カルボシステインＤＳ５０％「タカタ」(ﾊﾞﾗ1ｇ)		高田製薬	散剤	8.9	8.9	219.66	0	ｇ	1954.974	1954.974	0	高田製薬	2233002R2037	4987120223808;4987120223815;
51141007Q10447	ｶﾛﾅｰﾙ02	内	カロナールシロップ２％(ﾊﾞﾗ1mL)		あゆみ製薬		4.7	4.6667	0	0	mL	0	0	0	あゆみ製薬	1141007Q1048	4987896050615;
51141007C10747	ｶﾛﾅｰﾙｻｲ02	内	カロナール細粒２０％(ﾊﾞﾗ1ｇ)		あゆみ製薬	散剤劇	7.1	6.6	0.4	0	ｇ	2.84	2.64	0.2	あゆみ製薬	1141007C1075	4987896030525;4987896030587;
51141007F10601	ｶﾛﾅｰﾙｼﾞ02	内	カロナール錠２００　２００ｍｇ(PTP1錠)		あゆみ製薬	茶	5.9	4.768	2062	0	錠	12165.8	9831.616	2334.184	あゆみ製薬	1141007F1063	4987896010817;4987896010824;
51141007F30201	ｶﾛﾅｰﾙｼ05	内	カロナール錠５００　５００ｍｇ(PTP1錠)		あゆみ製薬	茶劇	7.6	6.16	548	0	錠	4164.8	3375.68	789.12	あゆみ製薬	1141007F3023	4987896010978;4987896010985;4987896011210;4987896011227;
51141007F20201	ｶﾛﾅｰﾙｼﾞ30	内	カロナール錠３００　３００ｍｇ(PTP1錠)		あゆみ製薬	茶	6.8	5.54	727	0	錠	4943.6	4027.58	916.02	あゆみ製薬	1141007F2027	4987896010879;4987896010893;
52149040F12301	ｶﾝﾃﾞｻﾙﾀ02	内	カンデサルタン錠２ｍｇ「サワイ」(PTP1錠)		沢井製薬	茶	10.1	6.74	237.5	0	錠	2398.75	1600.75	798	沢井製薬	2149040F1239	4987080004912;4987080004929;
52149040F22301	ｶﾝﾃﾞｻﾙﾀ04	内	カンデサルタン錠４ｍｇ「サワイ」(PTP1錠)		沢井製薬	茶､PTP/バラ	10.1	8.1	341	0	錠	3444.1	2762.1	682	沢井製薬	2149040F2235	4987080005117;4987080005124;4987080005131;4987080005179;4987080005186;
52149040F31301	ｶﾝﾃﾞｻﾙﾀ08	内	カンデサルタン錠８ｍｇ「ＴＣＫ」(PTP1錠)		辰巳化学	下	14.7	13.2	153	0	錠	2249.1	2019.6	229.5	辰巳化学	2149040F3134	4987124046113;4987124046120;4987124046144;
61319739Q10302	ｷｻﾗﾀﾝﾃ05	外	キサラタン点眼液０．００５％(本2.5mL)		ヴィアトリス製薬	冷蔵庫	450	334.84	12.5	0	mL	5625	4185.5	1439.5	ヴィアトリス製薬	1319739Q1037	4987901003506;
54490026F20401	ｷﾌﾟﾚｽｼﾞ01	内	キプレス錠１０ｍｇ(PTP1錠)		杏林製薬	茶	112.3	85.85	191	0	錠	21449.3	16397.35	5051.95	杏林製薬	4490026F2040	4987060007148;4987060007261;
51249006F10201	ｷﾞｬﾊﾞﾛﾝ00	内	ギャバロン錠５ｍｇ(PTP1錠)		アルフレッサファーマ	下劇	13	13.3889	0	0	錠	0	0	0	アルフレッサファーマ	1249006F1020	4987274132681;
53399103F10201	ｷｬﾌﾞﾋﾟﾘﾊ	内	キャブピリン配合錠(PTP1錠)		武田薬品	茶	106.7	95.06	134	0	錠	14297.8	12738.04	1559.76	武田薬品	3399103F1020	4987123159036;
53929003C10701	ｷｭｳｹｲｷｭｻ	内	球形吸着炭細粒分包２ｇ「日医工」(分包2ｇ)		日医工	ク漢方棚	46.8	40.2143	96	0	ｇ	4492.8	3860.5728	632.2272	日医工	3929003C1075	4987376540315;
51149108D10347	ｷｮｰﾘﾝｴｰﾋﾟ	内	キョーリンＡＰ２配合顆粒(ﾊﾞﾗ1ｇ)		杏林製薬		11	10.9524	0	0	ｇ	0	0	0	杏林製薬	1149108D1039	4987060007360;4987060007377;
62646722M11001	ｷﾝﾀﾞﾍﾞｰ	外	キンダベート軟膏０．０５％(ﾁｭｰﾌﾞ5ｇ)		グラクソ・スミスクラ	下	16.5	3.2	5	0	ｇ	82.5	16	66.5	グラクソ・スミスクラ	2646722M1100	4987246728065;
51124030F20701	ｸｱｾﾞﾊﾟﾑ20	内	クアゼパム錠２０ｍｇ「サワイ」(PTP1錠)		沢井製薬	向下	33.4	26.9	0	0	錠	0	0	0	沢井製薬	1124030F2076	4987080223115;
52359008F10201	ｸﾞｰﾌｨｽｼﾞ0	内	グーフィス錠５ｍｇ(PTP1錠)		ＥＡファーマ	茶	94.2	76.77	274	0	錠	25810.8	21034.98	4775.82	ＥＡファーマ	2359008F1025	4987699050027;4987699050034;
51179042F11901	ｸｴﾁｱﾋﾟﾝｼﾞ	内	クエチアピン錠２５ｍｇ「明治」(PTP1錠)		ＭｅｉｊｉＳｅｉｋａ	茶劇	10.1	10.1	326.5	0	錠	3297.65	3297.65	0	ＭｅｉｊｉＳｅｉｋａ	1179042F1194	4987222620161;4987222620246;
51179042F50401	ｸｴﾁｱﾋﾟﾝｼﾞ	内	クエチアピン錠５０ｍｇ「アメル」(PTP1錠)		共和薬品	下劇	15.5	12	79	0	錠	1224.5	948	276.5	共和薬品	1179042F5041	4987058194034;
51179042F21901	ｸｴﾁｱﾋﾟﾝｼﾞ	内	クエチアピン錠１００ｍｇ「明治」(PTP1錠)		ＭｅｉｊｉＳｅｉｋａ	下劇	28.9	23.82	174	0	錠	5028.6	4144.68	883.92	ＭｅｉｊｉＳｅｉｋａ	1179042F2190	4987222620932;4987222621076;
51179042F31001	ｸｴﾁｱﾋﾟﾝｼﾞ	内	クエチアピン錠２００ｍｇ「アメル」(PTP1錠)		共和薬品	下劇	37.5	33.6977	3	0	錠	112.5	101.0931	11.4069	共和薬品	1179042F3103	4987058196038;4987058196052;
53949101F11201	ｸｴﾝﾒｯﾄﾊｼﾞ	内	クエンメット配合錠(PTP1錠)		日本薬品工業	茶	5.9	5.02	110	0	錠	649	552.2	96.8	日本薬品工業	3949101F1120	4987440442019;4987440442057;
53969010F10201	ｸﾞﾗｸﾃｨﾌ02	内	グラクティブ錠２５ｍｇ(PTP1錠)		小野薬品	茶	65	56.13	172	0	錠	11180	9654.36	1525.64	小野薬品	3969010F1026	4987039449207;4987039449382;4987039449467;
53969010F20201	ｸﾞﾗｸﾃｨﾌ05	内	グラクティブ錠５０ｍｇ(PTP1錠)		小野薬品	茶､PTP/バラ	120	102.1	190	0	錠	22800	19399	3401	小野薬品	3969010F2022	4987039469731;4987039469816;4987039469908;4987039470072;
53160002M20201	ｸﾞﾗｹｰｶﾌ	内	グラケーカプセル１５ｍｇ(PTP1Ｃ)		エーザイ	茶	21.6	21.6	111	0	Ｃ	2397.6	2397.6	0	エーザイ	3160002M2028	4987028269601;4987028269618;4987028269632;4987028269649;
55200011C10703	ｸﾗｼｴｵｳ	内	クラシエ黄連解毒湯エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬		13.5	11.2738	126	0	ｇ	1701	1420.4988	280.5012	クラシエ薬品	5200011C1072	4987045630194;4987045630217;
55200011C10704	ｸﾗｼｴｵｳ	内	クラシエ黄連解毒湯エキス細粒(ｽﾃｨｯｸ包3ｇ)		クラシエ製薬		13.5	0	0	0	ｇ	0	0	0	クラシエ薬品	5200011C1072	4987045650208;4987045650215;
55200011C10748	ｸﾗｼｴｵｳ	内	クラシエ黄連解毒湯エキス細粒(ﾊﾞﾗ1ｇ)		クラシエ製薬		13.5	0	0	0	ｇ	0	0	0	クラシエ薬品	5200011C1072	4987045680182;
55200012C10603	ｸﾗｼｴｵﾂ	内	クラシエ乙字湯エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ３	17.4	15.881	0	0	ｇ	0	0	0	クラシエ薬品	5200012C1069	4987045630279;4987045630293;
55200013C10803	ｸﾗｼｴｶﾂｴ	内	クラシエ葛根湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ)		クラシエ製薬	クラシエ１	6.8	6.0993	182.5	0	ｇ	1241	1113.1222	127.8778	クラシエ薬品	5200013C1080	4987045630750;4987045630774;
55200017C10603	ｸﾗｼｴｶﾐ	内	クラシエ加味逍遙散料エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ２４	18.6	15.5714	242	0	ｇ	4501.2	3768.2788	732.9212	クラシエ薬品	5200017C1061	4987045630996;4987045631016;
55200036C10303	ｸﾗｼｴｹｲｼ	内	クラシエ桂枝加苓朮附湯エキス細粒(ｽﾃｨｯｸ包3.75ｇ)		クラシエ製薬	不動漢方１８	6.5	5.4	315	0	ｇ	2047.5	1701	346.5	クラシエ薬品	5200036C1030	4987045651243;4987045651250;
55200038F10501	ｸﾗｼｴｹｲｼﾌﾞ	内	クラシエ桂枝茯苓丸料エキス錠(分包1錠)		大峰堂	不動漢方､２５	4.4	3.9	36	0	錠	158.4	140.4	18	クラシエ薬品	5200038F1051	4987045670237;4987045670251;
55200038C10804	ｸﾗｼｴｹｲｼﾌﾞ	内	クラシエ桂枝茯苓丸料エキス細粒(ｽﾃｨｯｸ包3ｇ)		クラシエ製薬	ふれあい､25	9.8	8.0952	0	0	ｇ	0	0	0	クラシエ薬品	5200038C1080	4987045651403;4987045651410;
55200048F10602	ｸﾗｼｴｺﾞﾚ	内	クラシエ五苓散料エキス錠(分包1錠)		大峰堂	不動漢方､17	5.7	5.1944	36	0	錠	205.2	186.9984	18.2016	クラシエ薬品	5200048F1063	4987045670275;4987045670299;
55200048C10703	ｸﾗｼｴｺﾞﾚ	内	クラシエ五苓散料エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ､17	13.2	11.0119	364	0	ｇ	4804.8	4008.3316	796.4684	クラシエ薬品	5200048C1075	4987045631634;4987045631658;
55200050F10401	ｸﾗｼｴｻｲｶ	内	クラシエ柴胡加竜骨牡蛎湯エキス錠(分包1錠)		大峰堂		7.5	7.5	252	0	錠	1890	1890	0	クラシエ薬品	5200050F1044	4987045670312;4987045670336;
55200055C10303	ｸﾗｼｴｻｲﾎ	内	クラシエ柴苓湯エキス細粒(ｽﾃｨｯｸ包2.7ｇ)		大峰堂	クラシエ､117	47.7	39.8942	823.5	0	ｇ	39280.95	32852.8737	6428.0763	クラシエ薬品	5200055C1032	4987045642074;4987045642098;
55200067C10603	ｸﾗｼｴｼｬ	内	クラシエ芍薬甘草湯エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ､68	7.9	6.5969	838	0	ｇ	6620.2	5528.2022	1091.9978	クラシエ薬品	5200067C1060	4987045632990;4987045633010;
55200069C10703	ｸﾗｼｴｼﾞｭ	内	クラシエ十全大補湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ)		大峰堂	クラシエ､48	14.7	14.6952	262.5	0	ｇ	3858.75	3857.49	1.26	クラシエ薬品	5200069C1077	4987045643019;4987045643033;
55200075C10504	ｸﾗｼｴｼｮｳｾ	内	クラシエ小青竜湯エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ､19	18.2	16.5	184	0	ｇ	3348.8	3036	312.8	クラシエ薬品	5200075C1056	4987045632839;4987045632853;
55200080C10403	ｸﾗｼｴｼﾝ	内	クラシエ辛夷清肺湯エキス細粒(ｽﾃｨｯｸ包3.75ｇ)		大峰堂	不動漢方､110	12.4	11.2848	0	0	ｇ	0	0	0	クラシエ薬品	5200080C1049	4987045676130;4987045676147;
55200093C10704	ｸﾗｼｴﾀﾞｲ	内	クラシエ大柴胡湯エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ､8	22.8	19.0595	18	0	ｇ	410.4	343.071	67.329	クラシエ薬品	5200093C1070	4987045633959;4987045633973;
55200103C10903	ｸﾗｼｴﾁｮ	内	クラシエ猪苓湯エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ､40	14.5	12.3929	0	0	ｇ	0	0	0	クラシエ薬品	5200103C1092	4987045634031;4987045634055;
55200110C10403	ｸﾗｼｴﾄｳ	内	クラシエ当帰四逆加呉茱萸生姜湯エキス細粒(ｽﾃｨｯｸ包3.75ｇ)		大峰堂	クラシエ､38	9.4	9.3949	97.5	0	ｇ	916.5	916.0028	0.4972	クラシエ薬品	5200110C1041	4987045677052;4987045677069;
55200117C10403	ｸﾗｼｴﾆﾝ	内	クラシエ人参養栄湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ)		クラシエ製薬	クラシエ､108	22.7	20.9905	52.5	0	ｇ	1191.75	1102.0012	89.7488	クラシエ薬品	5200117C1043	4987045634277;4987045634291;
55200121F10401	ｸﾗｼｴﾊﾁ	内	クラシエ八味地黄丸料エキス錠(分包1錠)		大峰堂	不動漢方､7	4.9	4.0952	0	0	錠	0	0	0	クラシエ薬品	5200121F1046	4987045670794;4987045670817;
55200121C10403	ｸﾗｼｴﾊﾁ	内	クラシエ八味地黄丸料エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ､7	10.3	8.5952	-28	0	ｇ	-288.4	-240.6656	-47.7344	クラシエ薬品	5200121C1040	4987045634758;4987045634772;
55200121C10404	ｸﾗｼｴﾊﾁ	内	クラシエ八味地黄丸料エキス細粒(ｽﾃｨｯｸ包3ｇ)		クラシエ製薬		10.3	8.5952	420	0	ｇ	4326	3609.984	716.016	クラシエ薬品	5200121C1040	4987045654763;4987045654770;
55200122C10704	ｸﾗｼｴﾊﾝ	内	クラシエ半夏厚朴湯エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ､16	11	9.1667	94	0	ｇ	1034	861.6698	172.3302	クラシエ薬品	5200122C1079	4987045634833;4987045634857;
55200130C10603	ｸﾗｼｴﾎﾞｳ	内	クラシエ防風通聖散料エキス細粒(ｽﾃｨｯｸ包3.75ｇ)		クラシエ製薬	不動漢方､62	6.7	6.1	60	0	ｇ	402	366	36	クラシエ薬品	5200130C1065	4987045655005;4987045655012;
55200130C10604	ｸﾗｼｴﾎﾞｳ	内	クラシエ防風通聖散料エキス細粒(ｽﾃｨｯｸ包2.5ｇ)		クラシエ製薬	クラシエ､68	6.7	5.581	170	0	ｇ	1139	948.77	190.23	クラシエ薬品	5200130C1065	4987045634994;4987045635014;
55200131C10703	ｸﾗｼｴﾎﾁｭ	内	クラシエ補中益気湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ)		クラシエ製薬	クラシエ､41	20.8	17.4	250	0	ｇ	5200	4350	850	クラシエ薬品	5200131C1078	4987045635076;4987045635090;
55200138C10503	ｸﾗｼｴﾖｸｲ	内	クラシエよく苡仁湯エキス細粒(ｽﾃｨｯｸ包3ｇ)		クラシエ製薬	不動漢方､52	8.7	7.7982	60	0	ｇ	522	467.892	54.108	クラシエ薬品	5200138C1053	4987045655562;4987045655579;
55200141C10604	ｸﾗｼｴﾘﾂ	内	クラシエ六君子湯エキス細粒(ｽﾃｨｯｸ包2ｇ)		クラシエ製薬	クラシエ､43	19	15.8724	102	0	ｇ	1938	1618.9848	319.0152	クラシエ薬品	5200141C1063	4987045635632;4987045635656;
55200146C10303	ｸﾗｼｴﾛｸ	内	クラシエ六味丸料エキス細粒(ｽﾃｨｯｸ包3ｇ)		クラシエ製薬		7.8	7.6667	168	0	ｇ	1310.4	1288.0056	22.3944	クラシエ薬品	5200146C1031	4987045655807;4987045655814;
53999014N20201	ｸﾞﾗｾﾌﾟﾀ10	内	グラセプターカプセル１ｍｇ(PTP1Ｃ)		アステラス製薬	茶劇	757.5	633.84	8	0	Ｃ	6060	5070.72	989.28	アステラス製薬	3999014N2024	4987233102618;
61319763Q10201	ｸﾞﾗﾅﾃｯｸﾃ	外	グラナテック点眼液０．４％(本5mL)		興和	茶点眼	449.5	368.44	30	0	mL	13485	11053.2	2431.8	興和	1319763Q1022	4987770514301;4987770514400;4987770517708;
56139100R10301	ｸﾗﾊﾞﾓｯｸ	内	クラバモックス小児用配合ドライシロップ　６３６．５ｍｇ(分包0.505ｇ)		グラクソ・スミスクラ		129.4	0	0	0	ｇ	0	0	0	グラクソ・スミスクラ	6139100R1036	4987246743068;
56139100R10302	ｸﾗﾊﾞﾓｯｸ	内	クラバモックス小児用配合ドライシロップ　６３６．５ｍｇ(分包1.01ｇ)		グラクソ・スミスクラ		129.4	129.3729	0	0	ｇ	0	0	0	グラクソ・スミスクラ	6139100R1036	4987246743075;
56139100R10347	ｸﾗﾊﾞﾓｯｸ	内	クラバモックス小児用配合ドライシロップ　６３６．５ｍｇ(ﾊﾞﾗ1ｇ)		グラクソ・スミスクラ		129.4	0	0	0	ｇ	0	0	0	グラクソ・スミスクラ	6139100R1036	4987246743051;
56241013C20201	ｸﾗﾋﾞｯﾄｻ10	内	クラビット細粒１０％　１００ｍｇ（レボフロキサシンとして）(分包2.5ｇ)		第一三共	散剤引出し､袋	70.1	78	72.5	0	ｇ	5082.25	5655	-572.75	第一三共	6241013C2024	4987081127511;
56241013F30201	ｸﾗﾋﾞｯﾄｼ50	内	クラビット錠５００ｍｇ　（レボフロキサシンとして）(PTP1錠)		第一三共	茶	199.8	151.96	60	0	錠	11988	9117.6	2870.4	第一三共	6241013F3027	4987081127757;4987081127771;4987081127801;
61319742Q10301	ｸﾗﾋﾞｯﾄﾃ05	外	クラビット点眼液０．５％(本5mL)		参天製薬		80.3	0	0	0	mL	0	0	0	参天製薬	1319742Q1039	4987084114419;4987084114426;4987084114433;
61319742Q20201	ｸﾗﾋﾞｯﾄﾃ15	外	クラビット点眼液１．５％(本5mL)		参天製薬	下点眼	66.7	66.6	20	0	mL	1334	1332	2	参天製薬	1319742Q2027	4987084114525;4987084114532;
51190004F10201	ｸﾞﾗﾏﾘｰﾙ02	内	グラマリール錠２５ｍｇ(PTP1錠)		日医工	下	15.8	13.5	18	0	錠	284.4	243	41.4	日医工	1190004F1021	4987376245609;
56149003F10302	ｸﾗﾘｽｼﾞｮ05	内	クラリス錠５０小児用　５０ｍｇ(PTP1錠)		大正製薬	下	29.4	24.16	130	0	錠	3822	3140.8	681.2	大正製薬	6149003F1031	4987306017443;4987306017450;
56149003F20302	ｸﾗﾘｽｼﾞｮ20	内	クラリス錠２００　２００ｍｇ(PTP1錠)		大正製薬	茶	43.5	44.3964	87	0	錠	3784.5	3862.4868	-77.9868	大正製薬	6149003F2038	4987306017221;4987306017238;
56149003F20702	ｸﾗﾘｽﾛﾏｲ20	内	クラリスロマイシン錠２００ｍｇ「ＮＰＩ」(PTP1錠)		日本薬品工業	茶	20.7	17.96	275	0	錠	5692.5	4939	753.5	日本薬品工業	6149003F2070	4987440667016;4987440667054;
56149003R10648	ｸﾗﾘｽﾛﾏｲｼ1	内	クラリスロマイシンＤＳ小児用１０％「タカタ」　１００ｍｇ(ﾊﾞﾗ1ｇ)		高田製薬	散剤棚	33.5	27.22	100	0	ｇ	3350	2722	628	高田製薬	6149003R1062	4987120614200;
54490027F20202	ｸﾗﾘﾁﾝﾚﾃ	内	クラリチンレディタブ錠１０ｍｇ(ﾌﾞﾘｽﾀｰ1錠)		バイエル薬品	茶	50.2	36.82	150	0	錠	7530	5523	2007	バイエル薬品	4490027F2029	4987341110604;4987341110611;
