JAN,在庫数,薬品名,棚番
4987312126573,48,ミヤＢＭ錠(PTP1錠),""
4987222000017,86,ミルタザピン錠１５ｍｇ「明治」(PTP1錠),劇2
4987035515616,112,ムコスタ点眼液ＵＤ２％　０．３５ｍＬ(本1本),25-M
4987294222737,123,ムコソルバンＬ錠４５ｍｇ(PTP1錠),他3
4987294222324,454,ムコソルバン錠１５ｍｇ(PTP1錠),15-E
4987060003737,1371.4,ムコダインシロップ５％(ﾊﾞﾗ1mL),冷
4987060005342,134,ムコダイン錠２５０ｍｇ(PTP1錠),15-F
4987222664486,133,メイアクトＭＳ錠１００ｍｇ(PTP1錠),15-G
4987222742290,100,メイラックス錠１ｍｇ(PTP1錠),向
4987123409292,1301,メキタジン錠３ｍｇ「タイヨー」(PTP1錠),15-H
4987087003208,72,メジコン錠１５ｍｇ(PTP1錠),他3
4987028266365,80,メチコバール錠２５０μｇ　０．２５ｍｇ(PTP1錠),他3
4987028266501,972,メチコバール錠５００μｇ　０．５ｍｇ(PTP1錠),15-I
4987123002974,81,メチルジゴキシン錠０．１ｍｇ「ＮＩＧ」(PTP1錠),""
4987288250012,1218,滅菌精製水「ヨシダ」(ﾊﾞﾗ1mL),クリンベンチ
4987116530002,121,メトグルコ錠２５０ｍｇ(PTP1錠),右劇
4987086410922,108,メトホルミン塩酸塩錠５００ｍｇＭＴ「三和」(PTP1錠),劇2
4987431121213,0,メドロキシプロゲステロン酢酸エステル錠５ｍｇ「Ｆ」(PTP1錠),""
4987035510611,4,メプチンエアー１０μｇ吸入１００回　０．０１４３％５ｍＬ(ｷｯﾄ1ｷｯﾄ),26-L
4987028253358,633,メリスロン錠６ｍｇ(PTP1錠),右
4987123158831,11,メルカゾール錠５ｍｇ(PTP1錠),他3
4987376033114,440,モサプリドクエン酸塩錠２．５ｍｇ「日医工」(PTP1錠),16-B
4987440596019,40,モサプリドクエン酸塩錠５ｍｇ「ケミファ」(PTP1錠),""
4987060308023,25,モメタゾン点鼻液５０μｇ「杏林」５６噴霧用　５ｍｇ１０ｇ(瓶1瓶),26-K
4987080225119,1152,モンテルカスト錠１０ｍｇ「サワイ」(PTP1錠),16-E
4987447424018,1297,モンテルカスト細粒４ｍｇ「日新」(ｽﾃｨｯｸ包1包),""
4987080139270,759,モンテルカストチュアブル錠５ｍｇ「サワイ」(PTP1錠),16-C
4987028225508,85,ユベラＮカプセル１００ｍｇ(PTP1Ｃ),他-3
4987028209409,17,ユベラ錠５０ｍｇ(PTP1錠),他3
4987028209812,280,ユベラ軟膏(ﾁｭｰﾌﾞ56ｇ),冷蔵庫
4987051838324,87,ユリーフ錠４ｍｇ(PTP1錠),劇2
4987301326113,324,ヨクイニンエキス錠「コタロー」(ﾊﾞﾗ1錠),漢方4
4987376556217,84,ラシックス錠４０ｍｇ(PTP1錠),17-B
4987060008664,74,ラスビック錠７５ｍｇ(PTP1錠),17-C
4987123160285,5,ラタチモ配合点眼液「センジュ」(本2.5mL),冷蔵庫
4987123152006,7.5,ラタノプロスト点眼液０．００５％「センジュ」(本2.5mL),冷蔵庫
4987071160016,422,ラマトロバン錠７５ｍｇ「ＫＯ」(PTP1錠),""
4987123002523,100,ラメルテオン錠８ｍｇ「武田テバ」(PTP1錠),""
4987080610014,71,ランソプラゾールＯＤ錠１５ｍｇ「サワイ」(PTP1錠),""
4987081102754,9,リクシアナ錠３０ｍｇ(PTP1錠),他3
4987114165503,12,リザトリプタンＯＤ錠１０ｍｇ「ファイザー」(PTP1錠),劇2
4987080260011,4,リセドロン酸Ｎａ錠１７．５ｍｇ「サワイ」(PTP1錠),劇2
4987770509307,147,リバロＯＤ錠２ｍｇ(PTP1錠),17-E
4987925117845,161,リボトリール錠０．５ｍｇ(SP1錠),向
4987087003826,115,リンデロン－ＶＧ軟膏０．１２％(ﾁｭｰﾌﾞ5ｇ),24-E
4987087006643,5,眼・耳科用リンデロンＡ軟膏(ﾁｭｰﾌﾞ5ｇ),""
4987047211568,11,ルジオミール錠２５ｍｇ(PTP1錠),右
4987306013858,9,ルセフィ錠２．５ｍｇ(PTP1錠),17-F
4987173018468,21,ルナベル配合錠ＵＬＤ(PTP1錠),他3
4987128322527,613,ルパフィン錠１０ｍｇ(PTP1錠),17-G
4987047105010,70,ルリコンクリーム１％(ﾁｭｰﾌﾞ10ｇ),""
4987128106721,20,レクサプロ錠１０ｍｇ(PTP1錠),劇2
4987770556707,300,レスタミンコーワクリーム１％(ﾊﾞﾗ1ｇ),事務2
4987185122009,36,レニベース錠２．５　２．５ｍｇ(PTP1錠),他-3
4987080499114,538,レバミピド錠１００ｍｇ「サワイ」(PTP1錠),17-H
4987616002481,1,レベミル注　フレックスペン　３００単位(ｷｯﾄ1ｷｯﾄ),冷蔵庫
4987399026155,0,レボカバスチン点眼液０．０２５％「ＴＳ」(本5mL),""
4987222000895,664,レボセチリジン塩酸塩錠５ｍｇ「明治」(PTP1錠),18-B
4987243319006,35,レボフロキサシン点眼液０．５％「わかもと」(本5mL),24-E
4987243318702,40,レボフロキサシン点眼液１．５％「わかもと」(本5mL),24-F
4987246767033,1,レルベア１００エリプタ３０吸入用(ｷｯﾄ1ｷｯﾄ),26-L
4987413580618,67,レンドルミンＤ錠０．２５ｍｇ(PTP1錠),向
4987081100316,84,ロキソニンテープ１００ｍｇ　１０ｃｍ×１４ｃｍ(枚7枚),事務5
4987081474004,7,ロキソニンパップ１００ｍｇ　１０ｃｍ×１４ｃｍ(枚7枚),事務5
4987190065919,0,ロキソプロフェンＮａゲル１％「ＮＰ」(ﾁｭｰﾌﾞ25ｇ),事務2
4987042357018,154,ロキソプロフェンＮａテープ５０ｍｇ「科研」　７ｃｍ×１０ｃｍ(枚7枚),事務5
4987042357315,105,ロキソプロフェンＮａテープ１００ｍｇ「科研」　１０ｃｍ×１４ｃｍ(枚7枚),事務5
4987123160940,2158,ロキソプロフェンＮａ錠６０ｍｇ「あすか」(PTP1錠),18-D
4987158151005,35,ロコイド軟膏０．１％(ﾁｭｰﾌﾞ5ｇ),事務2
4987081186907,142,ロスバスタチン錠２．５ｍｇ「ＤＳＥＰ」(PTP1錠),右
4987123143936,120,ロゼレム錠８ｍｇ(PTP1錠),他3
4987080033516,22,ロフラゼプ酸エチル錠１ｍｇ「サワイ」(PTP1錠),向
4987080023616,62,ロペラミド塩酸塩カプセル１ｍｇ「サワイ」(PTP1Ｃ),右
4987123147880,30,ロメフロン耳科用液０．３％(本5mL),24-G
4987123147736,85,ロメフロン点眼液０．３％(本5mL),27-L
4987080219019,311,ロラタジンＯＤ錠１０ｍｇ「サワイ」(PTP1錠),18-G
4987123153515,69,ロラメット錠１．０　１ｍｇ(PTP1錠),向
4987028240501,63,ワーファリン錠０．５ｍｇ(PTP1錠),右
4987028240303,87,ワーファリン錠１ｍｇ(PTP1錠),右
4987222648752,485.72,ワイドシリン細粒２０％　２００ｍｇ(ﾊﾞﾗ1ｇ),粉
4987114553409,10,ワイパックス錠０．５　０．５ｍｇ(PTP1錠),""
